partner	interaction_name	Glyco_prob_hi	Glyco_prob_lo	Glyco_delta	TPI1_prob_hi	TPI1_prob_lo	TPI1_delta	concordant	max_abs_effect
pDC	CCL20_CCR6	0	0	0	0	0	0	TRUE	0
pDC	CCL21_ACKR4	0	0	0	0	0	0	TRUE	0
pDC	CCL21_CCR7	0	0	0	0	0	0	TRUE	0
pDC	CCL22_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL22_CCR4	0	0	0	0	0	0	TRUE	0
pDC	CCL23_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL24_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL24_CCR3	0	0	0	0	0	0	TRUE	0
pDC	CCL25_ACKR4	0	0	0	0	0	0	TRUE	0
pDC	CCL25_CCR9	0	0	0	0	0	0	TRUE	0
pDC	CCL26_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL26_CCR3	0	0	0	0	0	0	TRUE	0
pDC	CCL27_CCR10	0	0	0	0	0	0	TRUE	0
pDC	CCL27_CCR2	0	0	0	0	0	0	TRUE	0
pDC	CCL27_CCR3	0	0	0	0	0	0	TRUE	0
pDC	CCL28_CCR10	0	0	0	0	0	0	TRUE	0
pDC	CCL28_CCR3	0	0	0	0	0	0	TRUE	0
pDC	CCL2_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL2_CCR2	0	0	0	0	0	0	TRUE	0
pDC	CCL3L1_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL3L1_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL3L3_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL3_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL3_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL3_CCR5	0	0	0	0	0	0	TRUE	0
pDC	CCL4_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL4_CCR5	0	0	0	0	0	0	TRUE	0
pDC	CCL5_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL5_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL5_CCR3	0	0	0	0	0	0	TRUE	0
pDC	CCL5_CCR4	0	0	0	0	0	0	TRUE	0
pDC	CCL5_CCR5	0	0	0	0	0	0	TRUE	0
pDC	CCL7_ACKR2	0	0	0	0	0	0	TRUE	0
pDC	CCL7_CCR1	0	0	0	0	0	0	TRUE	0
pDC	CCL7_CCR2	0	0	0	0	0	0	TRUE	0
