sample	response	grp	n_cells	mean_expr	median_expr	detection	gene	analysis
Post_P21	Responder	lo	20	0	0	0	CCR1	TPI1
Post_P22	Non-responder	hi	9	0	0	0	CCR1	TPI1
Post_P22	Non-responder	lo	9	0	0	0	CCR1	TPI1
Post_P23	Non-responder	hi	22	0.78	0	0.136363636363636	CCR1	TPI1
Post_P23	Non-responder	lo	22	0.35	0	0.0454545454545455	CCR1	TPI1
Post_P23_2	Non-responder	hi	30	0	0	0	CCR1	TPI1
Post_P23_2	Non-responder	lo	30	0	0	0	CCR1	TPI1
Post_P28_2	Non-responder	hi	27	0	0	0	CCR1	TPI1
Post_P28_2	Non-responder	lo	27	0.603703703703704	0	0.0740740740740741	CCR1	TPI1
Post_P30	Non-responder	hi	26	0	0	0	CCR1	TPI1
Post_P30	Non-responder	lo	26	0.277692307692308	0	0.0384615384615385	CCR1	TPI1
