cell	glyco_grp	tpi1_grp
H5_P4_M39	lo	lo
H5_P4_M89_L001	hi	hi
H5_P5_M47_L001	lo	lo
H5_P5_M68_L001	lo	lo
H5_P7_M63-B1	hi	lo
H5_P9_M47_T_enriched	hi	lo
H6_P1_M39	hi	hi
H6_P2_M23	lo	lo
H6_P4_MMD7_L001	lo	lo
H6_P5_M74_L001	hi	hi
H7_P1_M39	lo	lo
H7_P5_M68_L001	hi	hi
H7_P6_M15	lo	lo
H7_P7_M74_T_enriched	hi	hi
H8_P1_M39	lo	lo
H8_P2_M23	hi	hi
H8_P2_MMD8_L001	lo	hi
H8_P3_M68_L001	hi	lo
H8_P5_M44_L001	hi	lo
H9_P11_MMD5_L001	hi	lo
H9_P1_M74_L001	hi	hi
H9_P2_M83_L001	hi	hi
H9_P3_M23	lo	hi
H9_P3_M55_L001	lo	lo
H9_P4_M39	hi	lo
H9_P4_M45_L001	lo	lo
H9_P5_M47_L001	hi	hi
H9_P5_M68_L001	lo	hi
H9_P7_M47_T_enriched	lo	lo
H9_P7_M63-B1	hi	lo
H9_P9_MMD2-36B_L001	hi	hi
