direction	partner	interaction_name	pathway	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob
Outgoing_CD4_to_partner	B	WNT8A_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8A_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8A_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8A_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8A_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8A_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8A_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD2_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT8B_FZD9_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT9A_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT9A_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT9A_FZD2_LRP5	WNT	0	0	1	1	0
