direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR	total_threshold_delta	threshold_distortion
Outgoing_CD4_to_partner	GAS	0	0	0	0	0
Outgoing_CD4_to_partner	GCG	0	0	0	0	0
Outgoing_CD4_to_partner	GDF	0	0	0	0	0
Outgoing_CD4_to_partner	GDNF	0	0	0	0	0
Outgoing_CD4_to_partner	GH	0	0	0	0	0
Outgoing_CD4_to_partner	GHRELIN	0	0	0	0	0
Outgoing_CD4_to_partner	GHRH	0	0	0	0	0
Outgoing_CD4_to_partner	GIPR	0	0	0	0	0
Outgoing_CD4_to_partner	GITRL	0	0	0	0	0
Outgoing_CD4_to_partner	GNRH	0	0	0	0	0
Outgoing_CD4_to_partner	GP1BA	0	0	0	0	0
Outgoing_CD4_to_partner	GPR	0	0	0	0	0
Outgoing_CD4_to_partner	GRN	0	0	0	0	0
Outgoing_CD4_to_partner	GRP	0	0	0	0	0
Outgoing_CD4_to_partner	GUCA	0	0	0	0	0
Outgoing_CD4_to_partner	HCRT	0	0	0	0	0
Outgoing_CD4_to_partner	HGF	0	0	0	0	0
Outgoing_CD4_to_partner	HH	0	0	0	0	0
Outgoing_CD4_to_partner	HSPG	0	0	0	0	0
Outgoing_CD4_to_partner	IAPP	0	0	0	0	0
Outgoing_CD4_to_partner	ICAM	0	0	0	0	0
Outgoing_CD4_to_partner	ICOS	0	0	0	0	0
Outgoing_CD4_to_partner	IFN-I	0	0	0	0	0
Outgoing_CD4_to_partner	IFN-II	-0.00488111836363837	-0.00069730262337691	-0.00069730262337691	-0.00488111836363837	0
Outgoing_CD4_to_partner	IGF	0	0	0	0	0
Outgoing_CD4_to_partner	IGFBP	0	0	0	0	0
Outgoing_CD4_to_partner	IL1	0	0	0	0	0
Outgoing_CD4_to_partner	IL10	0	0	0	0	0
Outgoing_CD4_to_partner	IL12	0	0	0	0	0
Outgoing_CD4_to_partner	IL16	-0.0234636249382071	-0.00335194641974387	-0.00335194641974387	-0.0234636249382071	0
Outgoing_CD4_to_partner	IL17	0	0	0	0	0
Outgoing_CD4_to_partner	IL2	0	0	0	0	0
Outgoing_CD4_to_partner	IL4	0	0	0	0	0
Outgoing_CD4_to_partner	IL6	0	0	0	0	0
Outgoing_CD4_to_partner	INSULIN	0	0	0	0	0
Outgoing_CD4_to_partner	JAM	0	0	0	0	0
Outgoing_CD4_to_partner	KIT	0	0	0	0	0
Outgoing_CD4_to_partner	KLK	0	0	0	0	0
Outgoing_CD4_to_partner	L1CAM	0	0	0	0	0
Outgoing_CD4_to_partner	LAIR1	0	0	0	0	0
Outgoing_CD4_to_partner	LAMININ	0	0	0	0	0
Outgoing_CD4_to_partner	LCK	-0.0104858599947785	-0.00149797999925407	-0.00149797999925407	-0.0104858599947785	0
Outgoing_CD4_to_partner	LEP	0	0	0	0	0
Outgoing_CD4_to_partner	LIFR	0	0	0	0	0
Outgoing_CD4_to_partner	LIGHT	0	0	0	0	0
Outgoing_CD4_to_partner	LT	0	0	0	0	0
Outgoing_CD4_to_partner	MADCAM	0	0	0	0	0
Outgoing_CD4_to_partner	MELANOCORTIN	0	0	0	0	0
Outgoing_CD4_to_partner	MIF	0.134937724511233	0.019276817787319	0.00481920444682976	0.534099360772603	0.39916163626137
Outgoing_CD4_to_partner	MK	0	0	0	0	0
Outgoing_CD4_to_partner	MMP	0	0	0	0	0
Outgoing_CD4_to_partner	MPZ	0	0	0	0	0
Outgoing_CD4_to_partner	MSTN	0	0	0	0	0
Outgoing_CD4_to_partner	NCAM	0	0	0	0	0
Outgoing_CD4_to_partner	NEGR	0	0	0	0	0
Outgoing_CD4_to_partner	NGF	0	0	0	0	0
