section	patient	gene	compartment	n_spots	rho	p
mel3_rep1	mel3	SMC2	myeloid	255	-0.08200139437855213	0.19181691886991606
mel3_rep1	mel3	SMC2	stroma	255	-0.12764692262048513	0.04168190602260172
mel3_rep1	mel3	SMC2	glycolysis	255	0.01899698933977189	0.7627325434950587
mel3_rep1	mel3	SMC2	prolif	255	0.10010641197531965	0.11077358910025681
mel3_rep1	mel3	ZFYVE19	tumor	255	0.005641467778647761	0.9285692227807991
mel3_rep1	mel3	ZFYVE19	lymphoid	255	-0.015065807211460244	0.8107851589062257
mel3_rep1	mel3	ZFYVE19	bcell	255	-0.06097634292180778	0.33212976018831447
mel3_rep1	mel3	ZFYVE19	myeloid	255	-0.02464463721111654	0.6953025790019933
mel3_rep1	mel3	ZFYVE19	stroma	255	0.017130553812431795	0.7854459406619959
mel3_rep1	mel3	ZFYVE19	glycolysis	255	0.1395127809506799	0.025893781076072226
mel3_rep1	mel3	ZFYVE19	prolif	255	0.07508948416708708	0.23213415829509568
mel3_rep1	mel3	SPSB2	tumor	255	0.020849209046144585	0.7403911073030329
mel3_rep1	mel3	SPSB2	lymphoid	255	0.03939775104359742	0.5311287521483689
mel3_rep1	mel3	SPSB2	bcell	255	-0.07019813917211068	0.2640604743790798
mel3_rep1	mel3	SPSB2	myeloid	255	0.007929954213077616	0.8997231785130861
mel3_rep1	mel3	SPSB2	stroma	255	-0.018581087302639604	0.7677770268234341
mel3_rep1	mel3	SPSB2	glycolysis	255	0.03321743880145205	0.597513484510094
mel3_rep1	mel3	SPSB2	prolif	255	0.09286939330629748	0.1391624675395695
mel3_rep1	mel3	HLA-C	tumor	255	-0.0069517302601890376	0.9120396818172106
mel3_rep1	mel3	HLA-C	lymphoid	255	0.016751672899386956	0.7900796452963583
mel3_rep1	mel3	HLA-C	bcell	255	-0.035232027568239	0.5754657052886193
mel3_rep1	mel3	HLA-C	myeloid	255	0.00020325917795179928	0.9974229633640344
mel3_rep1	mel3	HLA-C	stroma	255	0.016270075219814693	0.7959802196741461
mel3_rep1	mel3	HLA-C	glycolysis	255	0.07316457675691107	0.24435700267267324
mel3_rep1	mel3	HLA-C	prolif	255	0.07639274968705602	0.2241075254379684
mel3_rep1	mel3	KIAA0040	tumor	255	-0.020913731683071403	0.7396166233751181
mel3_rep1	mel3	KIAA0040	lymphoid	255	-0.07407863366892732	0.23849800743523217
mel3_rep1	mel3	KIAA0040	bcell	255	0.018302305041811115	0.7711638790773074
mel3_rep1	mel3	KIAA0040	myeloid	255	-0.01805185834071651	0.7742101940555676
mel3_rep1	mel3	KIAA0040	stroma	255	0.009951141656208744	0.8743542150770954
mel3_rep1	mel3	KIAA0040	glycolysis	255	0.1375505565824753	0.028080208654236785
mel3_rep1	mel3	KIAA0040	prolif	255	0.18605359365243712	0.0028588072554566455
mel3_rep2	mel3	TPI1	tumor	282	-0.023447200646520696	0.6950209252108388
mel3_rep2	mel3	TPI1	lymphoid	282	-0.08248255365140719	0.1671805503728308
mel3_rep2	mel3	TPI1	bcell	282	-0.01711656876707049	0.7747400055655222
mel3_rep2	mel3	TPI1	myeloid	282	-0.10335799036695284	0.08316507050398536
mel3_rep2	mel3	TPI1	stroma	282	-0.21303143312029618	0.0003146126664710575
mel3_rep2	mel3	TPI1	glycolysis	282	0.13788555961741286	0.02054287108771036
mel3_rep2	mel3	TPI1	prolif	282	0.02199328327812062	0.7130715356320669
mel3_rep2	mel3	SMC2	tumor	282	0.03504662963980939	0.5578089903512169
mel3_rep2	mel3	SMC2	lymphoid	282	-0.07357740707848011	0.21803989445312685
mel3_rep2	mel3	SMC2	bcell	282	-0.07866047138376506	0.1878022775053595
mel3_rep2	mel3	SMC2	myeloid	282	-0.0012817015990526177	0.9829043669990727
mel3_rep2	mel3	SMC2	stroma	282	-0.041160806549785114	0.49118256234624424
mel3_rep2	mel3	SMC2	glycolysis	282	-0.059174752470542276	0.3220923749428696
mel3_rep2	mel3	SMC2	prolif	282	0.13266797505869282	0.025891502068609594
mel3_rep2	mel3	ZFYVE19	tumor	282	0.03864897445216899	0.5180297738891354
mel3_rep2	mel3	ZFYVE19	lymphoid	282	0.051967308741821774	0.38463333476936196
mel3_rep2	mel3	ZFYVE19	bcell	282	0.04410740055991028	0.4606612616429687
mel3_rep2	mel3	ZFYVE19	myeloid	282	0.028773976366729473	0.6304094244207821
mel3_rep2	mel3	ZFYVE19	stroma	282	0.04449019910788393	0.45677509170033925
mel3_rep2	mel3	ZFYVE19	glycolysis	282	0.05876069003270801	0.32549586040543543
mel3_rep2	mel3	ZFYVE19	prolif	282	0.08506618123117672	0.15423156188128198
mel3_rep2	mel3	SPSB2	tumor	282	0.09999533112065985	0.09374766238675987
mel3_rep2	mel3	SPSB2	lymphoid	282	-0.03710153715830802	0.5349371588867715
mel3_rep2	mel3	SPSB2	bcell	282	-0.05599937663401916	0.3487853241336006
mel3_rep2	mel3	SPSB2	myeloid	282	-0.0457884205535962	0.44373292280487164
mel3_rep2	mel3	SPSB2	stroma	282	0.08213444135621992	0.16898561366969614
mel3_rep2	mel3	SPSB2	glycolysis	282	-0.007179264363855261	0.904462231262392
mel3_rep2	mel3	SPSB2	prolif	282	0.004747310776511853	0.936740512544509
mel3_rep2	mel3	HLA-C	tumor	282	-0.023913023414957	0.6892732662590447
mel3_rep2	mel3	HLA-C	lymphoid	282	0.14091770625068517	0.01789775543127151
mel3_rep2	mel3	HLA-C	bcell	282	0.025609327592718764	0.6684954575712697
mel3_rep2	mel3	HLA-C	myeloid	282	0.009737679700164635	0.8706751299421476
mel3_rep2	mel3	HLA-C	stroma	282	0.21815232900019974	0.00022276879188824872
mel3_rep2	mel3	HLA-C	glycolysis	282	-0.024834663070589028	0.6779540803304033
mel3_rep2	mel3	HLA-C	prolif	282	0.03792141592733374	0.5259447488817109
mel3_rep2	mel3	KIAA0040	tumor	282	0.11238475183174278	0.05944959117995002
mel3_rep2	mel3	KIAA0040	lymphoid	282	-0.06387160316542921	0.28510828163926555
mel3_rep2	mel3	KIAA0040	bcell	282	-0.11146046880606604	0.06158742648455225
mel3_rep2	mel3	KIAA0040	myeloid	282	0.08529458067149628	0.15312436287981193
mel3_rep2	mel3	KIAA0040	stroma	282	0.05609329345712956	0.3479763173792241
mel3_rep2	mel3	KIAA0040	glycolysis	282	0.08635599063792973	0.14805780406017244
mel3_rep2	mel3	KIAA0040	prolif	282	0.15184865956516744	0.010665529656897193
mel4_rep1	mel4	TPI1	tumor	212	0.12076329848490275	0.07936701703247961
mel4_rep1	mel4	TPI1	lymphoid	212	0.027629678151448088	0.6891623432465196
mel4_rep1	mel4	TPI1	bcell	212	0.08798571180101432	0.20195791817646158
mel4_rep1	mel4	TPI1	myeloid	212	0.1085701591853617	0.1149977504359253
mel4_rep1	mel4	TPI1	stroma	212	-0.018491082059095457	0.7889569485471948
mel4_rep1	mel4	TPI1	glycolysis	212	0.16473620893021607	0.01635748382580305
mel4_rep1	mel4	TPI1	prolif	212	0.008328479035165379	0.9040477712832885
mel4_rep1	mel4	SMC2	tumor	212	0.11080566664991132	0.10766574889574022
mel4_rep1	mel4	SMC2	lymphoid	212	-0.0016930520816677431	0.980449410467369
mel4_rep1	mel4	SMC2	bcell	212	0.010139722405919694	0.8833155464099608
mel4_rep1	mel4	SMC2	myeloid	212	0.035264864766382666	0.6096400758217935
mel4_rep1	mel4	SMC2	stroma	212	-0.06958932549447686	0.31322962248689695
mel4_rep1	mel4	SMC2	glycolysis	212	0.18067099060240197	0.008369436114614317
mel4_rep1	mel4	SMC2	prolif	212	0.08307209931066971	0.2284041603912213
mel4_rep1	mel4	ZFYVE19	tumor	212	0.04682482701313588	0.497694989502833
mel4_rep1	mel4	ZFYVE19	lymphoid	212	0.1309163608398628	0.05702751252620414
mel4_rep1	mel4	ZFYVE19	bcell	212	-0.01921622457334592	0.7808865230482831
mel4_rep1	mel4	ZFYVE19	myeloid	212	0.055116329584205	0.4246567810293214
mel4_rep1	mel4	ZFYVE19	stroma	212	0.051229454256462095	0.4580937239688931
mel4_rep1	mel4	ZFYVE19	glycolysis	212	0.10589769058742782	0.12426813578335437
mel4_rep1	mel4	ZFYVE19	prolif	212	0.1362332867368642	0.04757949296675392
mel4_rep1	mel4	SPSB2	tumor	212	0.05878328414488604	0.3944506309598441
mel4_rep1	mel4	SPSB2	lymphoid	212	0.015529861623623784	0.8221388488366999
mel4_rep1	mel4	SPSB2	bcell	212	0.06446592854724909	0.3502726335096683
mel4_rep1	mel4	SPSB2	myeloid	212	-0.0001245520340167458	0.9985615880439491
mel4_rep1	mel4	SPSB2	stroma	212	-0.04914608928061769	0.47660261571759455
mel4_rep1	mel4	SPSB2	glycolysis	212	-0.07223800094620729	0.29512214509335644
mel4_rep1	mel4	SPSB2	prolif	212	-0.04350095297050205	0.5287358163654567
mel4_rep1	mel4	HLA-C	tumor	212	-0.014336365074264772	0.8356059945847061
mel4_rep1	mel4	HLA-C	lymphoid	212	0.014071932088112636	0.8385964300212984
mel4_rep1	mel4	HLA-C	bcell	212	0.06788230298309975	0.32527640888668297
mel4_rep1	mel4	HLA-C	myeloid	212	0.09330200153426434	0.17592150312221425
mel4_rep1	mel4	HLA-C	stroma	212	0.048605310668102475	0.48147259360685035
mel4_rep1	mel4	HLA-C	glycolysis	212	-0.04120563227593285	0.5507281261023753
mel4_rep1	mel4	HLA-C	prolif	212	0.06576027304554342	0.34066357043346857
mel4_rep1	mel4	KIAA0040	tumor	212	0.05215890020779245	0.44996737284179805
mel4_rep1	mel4	KIAA0040	lymphoid	212	0.17506031178960751	0.010661664914316102
mel4_rep1	mel4	KIAA0040	bcell	212	0.16765904910977497	0.014523619182994482
mel4_rep1	mel4	KIAA0040	myeloid	212	-0.015251032299275479	0.8252805955010026
mel4_rep1	mel4	KIAA0040	stroma	212	-0.0001045557548922362	0.9987925185406761
mel4_rep1	mel4	KIAA0040	glycolysis	212	0.034406054101262414	0.6183815491695859
mel4_rep1	mel4	KIAA0040	prolif	212	0.002801719670451112	0.9676526129620223
mel4_rep2	mel4	TPI1	tumor	248	-0.013821125098983296	0.8285465576801324
mel4_rep2	mel4	TPI1	lymphoid	248	0.04891416120701904	0.44315967194678174
mel4_rep2	mel4	TPI1	bcell	248	-0.006267002431139231	0.9217772815892641
mel4_rep2	mel4	TPI1	myeloid	248	0.011262240261388693	0.8599266695847307
mel4_rep2	mel4	TPI1	stroma	248	-0.06448075093141152	0.3118409569322893
mel4_rep2	mel4	TPI1	glycolysis	248	0.16604428660612905	0.008796353619321587
mel4_rep2	mel4	TPI1	prolif	248	-0.10351650167848976	0.10388251786368213
mel4_rep2	mel4	SMC2	tumor	248	-0.0822646250149434	0.19665195704702035
mel4_rep2	mel4	SMC2	lymphoid	248	0.030173055859564132	0.6363038697932862
mel4_rep2	mel4	SMC2	bcell	248	-0.03750825867135276	0.5565971164071843
mel4_rep2	mel4	SMC2	myeloid	248	0.07474647557193284	0.24087473016601946
mel4_rep2	mel4	SMC2	stroma	248	0.04940620059428842	0.43858075028661564
mel4_rep2	mel4	SMC2	glycolysis	248	0.04574521836041034	0.47329236622251847
mel4_rep2	mel4	SMC2	prolif	248	0.08364317702151135	0.18922973493522577
mel4_rep2	mel4	ZFYVE19	tumor	248	0.06096378128608383	0.33902275679968863
mel4_rep2	mel4	ZFYVE19	lymphoid	248	-0.015246789717689101	0.8111772773710116
mel4_rep2	mel4	ZFYVE19	bcell	248	-0.07826028498904797	0.2194085821334947
mel4_rep2	mel4	ZFYVE19	myeloid	248	0.024734402063531103	0.6983052583486554
mel4_rep2	mel4	ZFYVE19	stroma	248	0.048373419296910546	0.4482229950090036
mel4_rep2	mel4	ZFYVE19	glycolysis	248	-0.0023871901979780974	0.9701631723469933
mel4_rep2	mel4	ZFYVE19	prolif	248	0.14862179369384249	0.01919645542402569
mel4_rep2	mel4	SPSB2	tumor	248	0.05251857430406292	0.41025019182987144
mel4_rep2	mel4	SPSB2	lymphoid	248	0.038513805471069786	0.5460591437945189
