gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent	detect
RPL3	0.34355119565899683	0.5589424389638612	0.4061200474759069	0.6445581439141855	0.48829295650323756	4	True	0.6681738772993526
NOP16	0.2723692694696473	0.673285294308973	0.4746816460777204	0.5318159224956212	0.48803803308799043	4	True	0.15445483506320007
PSMC3	0.2120038297640686	0.6732569729277613	0.46827378040056594	0.5983012981246146	0.4879589703042526	4	True	0.17675470146953037
TXNDC17	0.2800998043285198	0.8110002588375312	0.23589871264589776	0.6189579413124002	0.48648917928108726	4	True	0.0896650155318613
NOP10	0.1657347745227832	0.6563220033680915	0.40190436901692905	0.720049176608509	0.4860025808790782	4	True	0.17531600041105744
LRRC59	0.27592394342908566	0.5482967696221788	0.5054151501407721	0.6126416806545254	0.4855693859616405	4	True	0.09680402836296373
TOMM40	0.08055363677419983	0.7511026427989476	0.5928821684309178	0.5174324869190429	0.48549273373077695	4	True	0.18292056314870003
IMP3	0.2578118423034662	0.6675697913716755	0.40483026655633475	0.6107355016401731	0.48523685046791243	4	True	0.10851916555338609
CISD1	0.28436864746901896	0.7379100991579071	0.38450763746858474	0.5339862803309323	0.4851931661066108	4	True	0.1744938855205015
RPL15	0.28796069450188727	0.6206737277399611	0.3959580679149478	0.6359156631300735	0.4851270383217174	4	True	0.6744425033398418
RPL36	0.23771688688849854	0.6700610130106605	0.4183852026841104	0.6106163221156401	0.48419485617472735	4	True	0.5731676601460834
PPAN	0.33623481251689075	0.697115578435571	0.3421722748132567	0.5600385707290312	0.4838903091236874	4	True	0.0973178501695612
RPS9	0.21178815283819352	0.6691150082224204	0.4265725372277638	0.6272453839248399	0.4836802705533044	4	True	0.6590278491419176
ZNRD2	0.1809853780061347	0.615689909492247	0.26788458692040196	0.8684832515070118	0.48326078148144885	4	True	0.07296269653684102
TSTA3	0.42801949833331626	0.686371088402424	0.3530239597631831	0.4656173357178676	0.4832579705541977	4	True	0.06321887331038535
RPL18A	0.2551177231005314	0.6235608287741359	0.41239861474729483	0.6408875098641027	0.4829911691215162	4	True	0.7188367074298633
LAMTOR2	0.2337092559301512	0.5522762111514288	0.6655383445400965	0.47421947164686823	0.48143582081713615	4	True	0.060196457056502395
PSMC4	0.3280414796278502	0.5729535665235092	0.40028875743051895	0.623765335927486	0.4812622848773411	4	True	0.1716900344219629
HNRNPAB	0.19155990841267856	0.7047628212710745	0.4525051667699479	0.5756401611173603	0.48111701439276533	4	True	0.42123111704860755
NDUFAB1	0.2046909713192743	0.6681974964359549	0.5177956908668291	0.5326528996665546	0.4808342645721533	4	True	0.20493661321467552
RPL4	0.28063101951974806	0.6594662745875316	0.42866452815653583	0.5532325980527695	0.4804986050791462	4	True	0.5847292159079231
LDHB	0.30870305836886014	0.6592818721348548	0.42748230676515264	0.5263404212556194	0.4804519146311218	4	True	0.4461000924879252
FTL	0.20640600166992676	0.690006688224508	0.42391610903039517	0.6003973172697983	0.480181529048657	4	True	0.23306187557719754
NDUFS5	0.10955800204420121	0.8046693574916686	0.4323553984262918	0.5739773258744623	0.480140020959156	4	True	0.18873310385358072
PSMB3	0.28658485826101116	0.6092745659290582	0.4282831337459573	0.5958781408672704	0.4800051747008242	4	True	0.24971739800637138
SNRPB2	0.2547359384224639	0.6499848516912418	0.445680412724323	0.5686149605468059	0.47975404084620865	4	True	0.2844517521323605
ELOB	0.24273017372016184	0.678191464218692	0.4888665601845477	0.5078516028614769	0.4794099502462196	4	True	0.17328519855595667
