direction	partner	pathway	n_LR	raw_sum_hi	raw_sum_lo	raw_delta_sum	raw_delta_mean	n_sig_hi	n_sig_lo
Incoming_partner_to_CD4	B	RESISTIN	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	VISFATIN	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	ANGPTL	15	0	0	0	0	0	0
Incoming_partner_to_CD4	B	ANGPT	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	MK	9	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PTN	8	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PERIOSTIN	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	AGT	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GPR	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	BRADYKININ	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	COMPLEMENT	7	0	0	0	0	0	0
Incoming_partner_to_CD4	B	EDN	5	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GALANIN	6	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GHRELIN	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	MELANOCORTIN	5	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NMU	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NPFF	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NPY	16	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NPW-B	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NTS	3	0	0	0	0	0	0
Incoming_partner_to_CD4	B	OPIOID	12	0	0	0	0	0	0
Incoming_partner_to_CD4	B	HCRT	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	OXT	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	SOMATOSTATIN	7	0	0	0	0	0	0
Incoming_partner_to_CD4	B	TAC	4	0	0	0	0	0	0
Incoming_partner_to_CD4	B	UTS2	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PARs	29	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PMCH	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	PROK	4	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NPR1	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NPR2	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	KIT	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	GIPR	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	FSH	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	TSH	2	0	0	0	0	0	0
Incoming_partner_to_CD4	B	NT	9	0	0	0	0	0	0
Incoming_partner_to_CD4	B	FLT3	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	HGF	1	0	0	0	0	0	0
Incoming_partner_to_CD4	B	SEMA3	39	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CALCR	8	0	0	0	0	0	0
Incoming_partner_to_CD4	B	ANNEXIN	6	0	0	0	0	0	0
Incoming_partner_to_CD4	B	CRH	1	0	0	0	0	0	0
